Designator,Mid X,Mid Y,Rotation,Layer
C1,53.76,-150.96,0.0,bottom
C10,65.9384,-153.2382,270.0,bottom
C11,65.1256,-142.3924,90.0,bottom
C12,61.5696,-153.2636,270.0,bottom
C13,61.341,-142.395,90.0,bottom
C14,56.681,-147.531,0.0,bottom
C15,56.6674,-154.9908,0.0,bottom
C16,66.5988,-155.1908,180.0,bottom
C17,75.0824,-150.5458,0.0,bottom
C18,73.5584,-148.971,90.0,bottom
C19,67.5132,-140.1318,270.0,bottom
C2,53.76,-145.626,180.0,bottom
C20,51.74,-133.85,0.0,bottom
C21,51.74,-60.24,0.0,bottom
C22,52.27,-102.93,90.0,bottom
C23,82.4,-154.0,180.0,bottom
C24,82.3,-147.2,0.0,bottom
C25,81.87,-60.24,180.0,bottom
C26,81.87,-133.85,180.0,bottom
C27,81.87,-102.93,270.0,bottom
C3,70.76,-152.5,180.0,bottom
C4,56.681,-146.515,0.0,bottom
C5,68.06805,-147.9518,180.0,bottom
C6,67.9196,-145.542,180.0,bottom
C7,68.06805,-144.3958,180.0,bottom
C8,68.072,-143.3322,180.0,bottom
C9,68.06805,-146.9358,180.0,bottom
D1,63.9826,-155.448,0.0,bottom
D2,59.55905,-155.448,180.0,bottom
D3,70.5104,-155.448,0.0,bottom
D4,73.22,-155.448,180.0,bottom
D5,64.6938,-153.2382,270.0,bottom
H1,59.01,-174.0,0.0,bottom
H2,74.82,-174.0,0.0,bottom
LED1,55.97,-133.914,180.0,top
LED2,56.17,-103.474,180.0,top
LED3,56.07,-73.329,180.0,top
LED4,55.0,-58.48,270.0,top
LED5,60.5,-59.17,270.0,top
LED6,66.0,-59.17,270.0,top
LED7,71.5,-59.67,270.0,top
LED8,77.0,-59.17,270.0,top
R1,69.215,-154.2288,0.0,bottom
R10,60.452,-153.289,90.0,bottom
R11,72.52,-153.19,90.0,bottom
R12,72.263,-147.447,0.0,bottom
R13,74.32,-153.19,90.0,bottom
R14,52.57,-153.3,180.0,bottom
R2,67.1576,-153.2382,270.0,bottom
R3,56.681,-148.547,180.0,bottom
R4,56.681,-145.118,180.0,bottom
R5,70.1548,-146.9,0.0,bottom
R6,70.1548,-145.8,0.0,bottom
R7,52.57,-154.95,180.0,bottom
R8,59.3344,-153.287,90.0,bottom
R9,66.3194,-140.1318,270.0,bottom
U1,68.95705,-150.4918,90.0,bottom
U10,57.01,-147.5,90.0,top
U11,66.91,-147.5,90.0,top
U12,76.81,-147.5,90.0,top
U13,74.3,-139.8,180.0,bottom
U14,81.9,-149.48,180.0,bottom
U2,62.357,-147.574,90.0,bottom
U3,76.8208,-147.2296,270.0,bottom
U4,57.01,-87.0,90.0,top
U5,66.91,-87.0,90.0,top
U6,76.81,-87.0,90.0,top
U7,57.01,-117.1,90.0,top
U8,66.91,-117.1,90.0,top
U9,76.81,-117.1,90.0,top
Y1,53.76,-148.293,270.0,bottom
